Station,Latitude,Longitude,Zone,Postcode
Liverpool Street NR,51.517598,-0.08225,1,EC2M 7PR
London Bridge LU,51.504674,-0.086006,1,SE1 2SW
London Bridge NR,51.504674,-0.086006,1,SE1 2SW
London City Airport,51.50369,0.047873,3,E16 2DS
London Fields,51.540719,-0.0577,2,E8 3PH
Loughborough Junction,51.466679,-0.102497,2,SW9 8SA
Loughton,51.64157,0.055279,6,IG10 4PD
Lower Sydenham,51.424847,-0.03333,4,SE26 5AU
Maida Vale,51.529995,-0.185433,2,W9 1JS
Malden Manor,51.38461,-0.26112,4,KT3 5PN
Manor House,51.570747,-0.095685,2,N4 1BZ
Manor Park,51.552854,0.045724,3,E12 5EP
Mansion House,51.512092,-0.094198,1,EC4N 6JD
Marble Arch,51.513965,-0.158571,1,W1C 2JS
Maryland,51.545668,0.005682,3,E15 1SA
Marylebone LU,51.522397,-0.163493,1,NW1 6JJ
Marylebone NR,51.522397,-0.163493,1,NW1 6JJ
Maze Hill,51.483014,0.003205,3,SE10 9XG
Merstham,51.2642,-0.150232,13,RH1 3ED
Mile End,51.525311,-0.032666,2,E3 4DH
Mill Hill Broadway,51.612871,-0.249537,4,NW7 2JU
Mill Hill East,51.608317,-0.209896,4,NW7 1BS
Mitcham Eastfields,51.408384,-0.154002,3,CR4 2ND
Moor Park,51.629931,-0.432913,6,HA6 2JQ
Moorgate,51.518437,-0.089018,1,EC2M 6TX
Morden,51.402186,-0.194852,4,SM4 5AZ
Morden South,51.396308,-0.200302,4,SM4 5AN
Mornington Crescent,51.534362,-0.138744,2,NW1 2JA
Mortlake,51.468168,-0.267203,3,SW14 8LN
Motspur Park,51.39532,-0.23944,4,KT3 6JJ
Mottingham,51.439825,0.050324,4,SE9 4EN
Mudchute,51.491236,-0.01496,2,E14 9UW
Neasden,51.554628,-0.250115,3,NW10 1PH
New Barnet,51.648537,-0.17297,5,EN5 1QT
New Beckenham,51.416706,-0.035305,4,BR3 1QW
New Cross,51.476429,-0.032279,2,SE14 6LD
New Cross Gate,51.475265,-0.039529,2,SE14 6AR
New Eltham,51.437691,0.070445,4,SE9 2AB
New Malden,51.403556,-0.256218,4,KT3 4PX
New Southgate,51.614094,-0.14301,4,N11 1QH
Newbury Park,51.575638,0.090303,4,IG2 7RN
Norbiton,51.411909,-0.2842,5,KT2 7AZ
Norbury,51.411189,-0.122799,3,SW16 3RW
North Acton,51.523432,-0.25973,2,W3 6UP
North Dulwich,51.454482,-0.087919,2,SE21 7BX
North Ealing,51.517622,-0.288994,3,W5 3AF
North Greenwich,51.500255,0.003586,2,SE10 0PH
North Harrow,51.584631,-0.362633,5,HA2 7SR
North Sheen,51.46542,-0.286397,3,TW9 4QA
North Wembley,51.562396,-0.303948,4,HA0 3NT
Northfields,51.500492,-0.315065,3,W13 9QU
Northolt,51.548213,-0.368441,5,UB5 4AA
Northolt Park,51.557619,-0.359434,5,UB5 4XE
Northumberland Park,51.602016,-0.054132,3,N17 0HY
Northwick Park,51.578509,-0.318199,4,HA3 0AT
Northwood,51.611214,-0.423838,6,HA6 2XL
Northwood Hills,51.600803,-0.409311,6,HA6 1NZ
Norwood Junction,51.396954,-0.07521,4,SE25 5AG
Notting Hill Gate,51.509375,-0.195922,1,W11 3HT
Nunhead,51.46658,-0.05368,2,SE15 3XE
Oakleigh Park,51.637676,-0.166195,4,EN5 1BU
Oakwood,51.647638,-0.131854,5,N14 4UT
Ockendon,51.52199,0.290483,7,RM15 6PD
Old Street,51.525581,-0.087623,1,EC1V 9NR
Orpington,51.37352,0.089029,6,BR6 0SX
Osterley,51.481217,-0.352096,4,TW7 4PU
Oval,51.481413,-0.113321,2,SE11 4PP
Oxford Circus,51.515223,-0.140836,1,W1C 2JS
Paddington NR,51.515394,-0.175737,1,W2 1RH
Paddington TfL,51.515394,-0.175737,1,W2 1RH
Palmers Green,51.618787,-0.110273,4,N13 4PN
Park Royal,51.526834,-0.284929,3,W5 3EL
Parsons Green,51.47496,-0.201124,2,SW6 4HU
Peckham Rye,51.469511,-0.069984,2,SE15 5DQ
Penge East,51.419975,-0.054495,4,SE20 7BQ
Penge West,51.418063,-0.060646,4,SE20 8NU
Perivale,51.536342,-0.32307,4,UB6 7NP
Petts Wood,51.388599,0.07448,5,BR5 1LZ
Piccadilly Circus,51.509697,-0.133712,1,W1J 9HS
Pimlico,51.489553,-0.133108,1,SW1V 2JA
Pinner,51.592362,-0.381224,5,HA5 5LZ
Plaistow,51.531288,0.017781,3,E13 0DY
Plumstead,51.489792,0.0843,4,SE18 7EA
Ponders End,51.642731,-0.034525,5,EN3 4LA
Pontoon Dock,51.502216,0.033326,3,E16 2SB
Poplar,51.507588,-0.017275,2,E14 0DS
Preston Road,51.572104,-0.294972,4,HA3 0PS
Prince Regent,51.509435,0.033489,3,E16 3HE
Pudding Mill Lane,51.534328,-0.012769,2,E15 2PH
